Sample name,title,raw data file,source name,organism,characteristics: donor,characteristics: vaccine,characteristics: time of acquisition,characteristics: timepoint,characteristics: time of acquisition unit,molecule,label,description,platform or Agilent design ID
P168_A06024_w0.6h,post-vaccination blood sample from animal A06024 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06024,Macaca mulatta,A06024,NYV-Control,NA,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-Control,GPL17463
P168_A06015_w0.6h,post-vaccination blood sample from animal A06015 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06015,Macaca mulatta,A06015,NYV-SIV,4,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06053_w0.6h,post-vaccination blood sample from animal A06053 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06053,Macaca mulatta,A06053,ALV-SIV,4,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06032_w0.6h,post-vaccination blood sample from animal A06032 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06032,Macaca mulatta,A06032,NYV-Control,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-Control,GPL17463
P168_A06042_w0.24h,post-vaccination blood sample from animal A06042 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06042,Macaca mulatta,A06042,ALV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_A06071_w0.24h,post-vaccination blood sample from animal A06071 at w0.w0h,US93503719_254853410003_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06071,Macaca mulatta,A06071,NYV-SIV,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_A06015_w0.24h,post-vaccination blood sample from animal A06015 at w0.w0h,US93503719_254853410004_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06015,Macaca mulatta,A06015,NYV-SIV,4,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
Control.20,Control,US93503719_254853410004_S01_GE1_107_Sep09_1_2.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06082_w0.6h,post-vaccination blood sample from animal A06082 at w0.w0h,US93503719_254853410004_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06082,Macaca mulatta,A06082,ALV-SIV,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06079_w0.0h,pre-vaccination blood sample from animal A06079 at w0.w0h,US93503719_254853410004_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06079,Macaca mulatta,A06079,ALV-SIV,7,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06016_w0.0h,pre-vaccination blood sample from animal A06016 at w0.w0h,US93503719_254853410004_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06016,Macaca mulatta,A06016,ALV-Control,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06079_w0.24h,post-vaccination blood sample from animal A06079 at w0.w0h,US93503719_254853410004_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06079,Macaca mulatta,A06079,ALV-SIV,7,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_A06024_w0.24h,post-vaccination blood sample from animal A06024 at w0.w0h,US93503719_254853410004_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06024,Macaca mulatta,A06024,NYV-Control,NA,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
P168_A06085_w0.24h,post-vaccination blood sample from animal A06085 at w0.w0h,US93503719_254853410004_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06085,Macaca mulatta,A06085,NYV-Control,4,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
Control.34,Control,US93503719_254853410005_S01_GE1_107_Sep09_1_1.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06070_w0.6h,post-vaccination blood sample from animal A06070 at w0.w0h,US93503719_254853410005_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-Control,GPL17463
P168_A06085_w0.6h,post-vaccination blood sample from animal A06085 at w0.w0h,US93503719_254853410005_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06085,Macaca mulatta,A06085,NYV-Control,4,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-Control,GPL17463
P168_A06049_w0.0h,pre-vaccination blood sample from animal A06049 at w0.w0h,US93503719_254853410005_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06049,Macaca mulatta,A06049,NYV-SIV,6,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06072_w0.0h,pre-vaccination blood sample from animal A06072 at w0.w0h,US93503719_254853410005_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06072,Macaca mulatta,A06072,NYV-SIV,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06026_w0.0h,pre-vaccination blood sample from animal A06026 at w0.w0h,US93503719_254853410005_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06023_w0.6h,post-vaccination blood sample from animal A06023 at w0.w0h,US93503719_254853410005_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-Control,GPL17463
P168_A06028_w0.0h,pre-vaccination blood sample from animal A06028 at w0.w0h,US93503719_254853410005_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06021_w0.24h,post-vaccination blood sample from animal A06021 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06021,Macaca mulatta,A06021,NYV-SIV,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_A06071_w0.6h,post-vaccination blood sample from animal A06071 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06071,Macaca mulatta,A06071,NYV-SIV,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06034_w0.0h,pre-vaccination blood sample from animal A06034 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06083_w0.0h,pre-vaccination blood sample from animal A06083 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06083,Macaca mulatta,A06083,ALV-Control,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06059_w0.0h,pre-vaccination blood sample from animal A06059 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06059,Macaca mulatta,A06059,ALV-SIV,11,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06024_w0.0h,pre-vaccination blood sample from animal A06024 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06024,Macaca mulatta,A06024,NYV-Control,NA,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06049_w0.6h,post-vaccination blood sample from animal A06049 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06049,Macaca mulatta,A06049,NYV-SIV,6,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06089_w0.6h,post-vaccination blood sample from animal A06089 at w0.w0h,US93503719_254853410006_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06089,Macaca mulatta,A06089,NYV-SIV,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06079_w0.6h,post-vaccination blood sample from animal A06079 at w0.w0h,US93503719_254853410007_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06079,Macaca mulatta,A06079,ALV-SIV,7,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06082_w0.24h,post-vaccination blood sample from animal A06082 at w0.w0h,US93503719_254853410007_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06082,Macaca mulatta,A06082,ALV-SIV,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_A06042_w0.6h,post-vaccination blood sample from animal A06042 at w0.w0h,US93503719_254853410007_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06042,Macaca mulatta,A06042,ALV-SIV,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
Control.32,Control,US93503719_254853410007_S01_GE1_107_Sep09_1_4.txt,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control,Control
P168_A06083_w0.24h,post-vaccination blood sample from animal A06083 at w0.w0h,US93503719_254853410007_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06083,Macaca mulatta,A06083,ALV-Control,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
P168_A06070_w0.24h,post-vaccination blood sample from animal A06070 at w0.w0h,US93503719_254853410007_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06070,Macaca mulatta,A06070,ALV-Control,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
P168_A06053_w0.24h,post-vaccination blood sample from animal A06053 at w0.w0h,US93503719_254853410007_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06053,Macaca mulatta,A06053,ALV-SIV,4,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_A06067_w0.6h,post-vaccination blood sample from animal A06067 at w0.w0h,US93503719_254853410007_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06067,Macaca mulatta,A06067,ALV-SIV,not infected,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06023_w0.0h,pre-vaccination blood sample from animal A06023 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06067_w0.24h,post-vaccination blood sample from animal A06067 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06067,Macaca mulatta,A06067,ALV-SIV,not infected,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_A06016_w0.6h,post-vaccination blood sample from animal A06016 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06016,Macaca mulatta,A06016,ALV-Control,2,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-Control,GPL17463
P168_A06026_w0.6h,post-vaccination blood sample from animal A06026 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06032_w0.24h,post-vaccination blood sample from animal A06032 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06032,Macaca mulatta,A06032,NYV-Control,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-Control,GPL17463
P168_A06089_w0.0h,pre-vaccination blood sample from animal A06089 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06089,Macaca mulatta,A06089,NYV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06072_w0.24h,post-vaccination blood sample from animal A06072 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06072,Macaca mulatta,A06072,NYV-SIV,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_A06015_w0.6h_rep1,post-vaccination blood sample from animal A06015 at w0.w0h,US93503719_254853410008_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06015,Macaca mulatta,A06015,NYV-SIV,4,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with NYV-SIV,GPL17463
P168_A06055_w0.24h,post-vaccination blood sample from animal A06055 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_A06071_w0.0h,pre-vaccination blood sample from animal A06071 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06071,Macaca mulatta,A06071,NYV-SIV,3,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06042_w0.0h,pre-vaccination blood sample from animal A06042 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06042,Macaca mulatta,A06042,ALV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06034_w0.24h,post-vaccination blood sample from animal A06034 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-SIV,GPL17463
P168_A06067_w0.0h,pre-vaccination blood sample from animal A06067 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06067,Macaca mulatta,A06067,ALV-SIV,not infected,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06053_w0.0h,pre-vaccination blood sample from animal A06053 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06053,Macaca mulatta,A06053,ALV-SIV,4,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06028_w0.6h,post-vaccination blood sample from animal A06028 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06026_w0.24h,post-vaccination blood sample from animal A06026 at w0.w0h,US93503719_254853410009_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_A06082_w0.0h,pre-vaccination blood sample from animal A06082 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06082,Macaca mulatta,A06082,ALV-SIV,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06021_w0.0h,pre-vaccination blood sample from animal A06021 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06021,Macaca mulatta,A06021,NYV-SIV,1,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06049_w0.24h,post-vaccination blood sample from animal A06049 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06049,Macaca mulatta,A06049,NYV-SIV,6,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_A06089_w0.24h,post-vaccination blood sample from animal A06089 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06089,Macaca mulatta,A06089,NYV-SIV,2,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with NYV-SIV,GPL17463
P168_A06059_w0.6h,post-vaccination blood sample from animal A06059 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06059,Macaca mulatta,A06059,ALV-SIV,11,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06034_w0.6h,post-vaccination blood sample from animal A06034 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06019_w0.24h,post-vaccination blood sample from animal A06019 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06019,Macaca mulatta,A06019,ALV-Control,1,w0.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.24h after vaccination with ALV-Control,GPL17463
P168_A06055_w0.0h,pre-vaccination blood sample from animal A06055 at w0.w0h,US93503719_254853410010_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w0.0h,week,total RNA,Cy3,transcriptional profilling of blood taken pre-vaccination,GPL17463
P168_A06028_w0.6h_rep1,post-vaccination blood sample from animal A06028 at w0.w0h,US93503719_254853410024_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06028_w0.6h_rep2,post-vaccination blood sample from animal A06028 at w0.w0h,US93503719_254853410024_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06028,Macaca mulatta,A06028,ALV-SIV,not infected,w0.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w0.6h after vaccination with ALV-SIV,GPL17463
P168_A06016_w5.0h,post-vaccination blood sample from animal A06016 at w5.w5h,US93503719_254853410091_S01_GE1_107_Sep09_1_1.txt,Blood sample from animal A06016,Macaca mulatta,A06016,ALV-Control,2,w5.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w5.0h after vaccination with ALV-Control,GPL17463
P168_A06026_w12.24h,post-vaccination blood sample from animal A06026 at w12.w12h,US93503719_254853410091_S01_GE1_107_Sep09_1_2.txt,Blood sample from animal A06026,Macaca mulatta,A06026,NYV-SIV,3,w12.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.24h after vaccination with NYV-SIV,GPL17463
P168_A06059_w24.24h,post-vaccination blood sample from animal A06059 at w24.w24h,US93503719_254853410091_S01_GE1_107_Sep09_1_3.txt,Blood sample from animal A06059,Macaca mulatta,A06059,ALV-SIV,11,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with ALV-SIV,GPL17463
P168_A06055_w12.6h,post-vaccination blood sample from animal A06055 at w12.w12h,US93503719_254853410091_S01_GE1_107_Sep09_1_4.txt,Blood sample from animal A06055,Macaca mulatta,A06055,NYV-SIV,2,w12.6h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.6h after vaccination with NYV-SIV,GPL17463
P168_A06032_w24.24h,post-vaccination blood sample from animal A06032 at w24.w24h,US93503719_254853410091_S01_GE1_107_Sep09_2_1.txt,Blood sample from animal A06032,Macaca mulatta,A06032,NYV-Control,3,w24.24h,week,total RNA,Cy3,transcriptional profilling of blood taken at w24.24h after vaccination with NYV-Control,GPL17463
P168_A06023_w25.0h,post-vaccination blood sample from animal A06023 at w25.w25h,US93503719_254853410091_S01_GE1_107_Sep09_2_2.txt,Blood sample from animal A06023,Macaca mulatta,A06023,NYV-Control,not infected,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with NYV-Control,GPL17463
P168_A06082_w12.0h,post-vaccination blood sample from animal A06082 at w12.w12h,US93503719_254853410091_S01_GE1_107_Sep09_2_3.txt,Blood sample from animal A06082,Macaca mulatta,A06082,ALV-SIV,1,w12.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w12.0h after vaccination with ALV-SIV,GPL17463
P168_A06034_w25.0h,post-vaccination blood sample from animal A06034 at w25.w25h,US93503719_254853410091_S01_GE1_107_Sep09_2_4.txt,Blood sample from animal A06034,Macaca mulatta,A06034,ALV-SIV,3,w25.0h,week,total RNA,Cy3,transcriptional profilling of blood taken at w25.0h after vaccination with ALV-SIV,GPL17463
